@relation 'Masterdatav1.1-weka.filters.unsupervised.attribute.Remove-R1-4,6-11,13,15-19'

@attribute Day {Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday}
@attribute Min.Gap numeric
@attribute Delaytype {'Short Delay','Long Delay'}
@attribute wardname {Eglinton-Lawrence ,Scarborough-Guildwood ,'Toronto-St. Paul’s  ','Scarborough Southwest ',Toronto-Danforth ,'York Centre ','Spadina-Fort York ',University-Rosedale ,Scarborough-Agincourt ,'Beaches-East York ',Willowdale ,'Etobicoke North ','Don Valley West  ','Toronto Centre ','York South-Weston ','Parkdale-High Park ','Don Valley North ','Humber River-Black Creek ',Davenport ,Etobicoke-Lakeshore ,'Don Valley East  ','Scarborough North ','Scarborough Centre ','Scarborough-Rouge Park  ','Etobicoke Centre '}
@attribute Wardpopulationrank {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25'}
@attribute wardmedianage {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25'}
@attribute wardunemployment {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25'}
@attribute wardincome {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25'}
@attribute Meantemp numeric
@attribute Totalprecip numeric

@data
Monday,20,'Short Delay',Eglinton-Lawrence ,7,12,17,13,-13.1,0
Monday,1,'Short Delay',Scarborough-Guildwood ,22,19,1,23,-13.1,0
Monday,60,'Long Delay','Toronto-St. Paul’s  ',15,11,24,4,-13.1,0
Monday,44,'Long Delay','Scarborough Southwest ',9,9,6,15,-13.1,0
Monday,36,'Long Delay',Toronto-Danforth ,16,15,22,8,-13.1,0
Monday,20,'Short Delay','York Centre ',18,8,16,17,-13.1,0
Monday,20,'Short Delay','York Centre ',18,8,16,17,-13.1,0
Monday,60,'Long Delay','Toronto-St. Paul’s  ',15,11,24,4,-13.1,0
Monday,20,'Short Delay',Eglinton-Lawrence ,7,12,17,13,-13.1,0
Monday,30,'Long Delay','Toronto-St. Paul’s  ',15,11,24,4,-13.1,0
Monday,18,'Long Delay','Spadina-Fort York ',6,25,25,1,-13.1,0
Monday,210,'Long Delay',Scarborough-Guildwood ,22,19,1,23,-13.1,0
Monday,30,'Long Delay',University-Rosedale ,19,23,18,5,-13.1,0
Monday,20,'Short Delay',Scarborough-Agincourt ,17,2,4,21,-13.1,0
Monday,60,'Long Delay',Eglinton-Lawrence ,7,12,17,13,-13.1,0
Monday,0,'Short Delay',University-Rosedale ,19,23,18,5,-13.1,0
Monday,20,'Short Delay','Beaches-East York ',11,10,14,9,-13.1,0
Monday,52,'Long Delay',Willowdale ,2,17,13,7,-13.1,0
Monday,48,'Long Delay','Etobicoke North ',3,21,3,20,-13.1,0
Monday,40,'Long Delay','Don Valley West  ',21,13,15,18,-13.1,0
Monday,30,'Long Delay','Toronto Centre ',20,24,12,3,-13.1,0
Monday,60,'Long Delay','Scarborough Southwest ',9,9,6,15,-13.1,0
Monday,45,'Long Delay','Scarborough Southwest ',9,9,6,15,-13.1,0
Monday,20,'Short Delay','York South-Weston ',5,16,8,12,-13.1,0
Monday,40,'Long Delay','Scarborough Southwest ',9,9,6,15,-13.1,0
Monday,38,'Long Delay','Don Valley West  ',21,13,15,18,-13.1,0
Monday,65,'Long Delay','Parkdale-High Park ',12,18,23,6,-13.1,0
Monday,15,'Short Delay','Spadina-Fort York ',6,25,25,1,-13.1,0
Monday,60,'Long Delay','Scarborough Southwest ',9,9,6,15,-13.1,0
Monday,15,'Short Delay','Spadina-Fort York ',6,25,25,1,-13.1,0
Monday,30,'Long Delay','Beaches-East York ',11,10,14,9,-13.1,0
Monday,20,'Long Delay','Toronto Centre ',20,24,12,3,-13.1,0
Monday,178,'Long Delay',Scarborough-Guildwood ,22,19,1,23,-13.1,0
Monday,60,'Long Delay','Don Valley North ',10,5,10,14,-13.1,0
