"lon","lat","ward"
-79.4509411,43.7346861,8
-79.208992,43.771343,24
-79.3966474,43.6978369,12
-79.2626776,43.7329648,20
-79.3446186,43.680086,14
-79.4826496,43.7474687,6
-79.4826496,43.7474687,6
-79.3966474,43.6978369,12
-79.4527887,43.733428,8
-79.4255323,43.7009998,12
-79.4095262,43.6346793,10
-79.214761,43.792533,24
-79.3697946,43.696131,11
-79.3164104,43.7966175,22
-79.4509411,43.7346861,8
-79.3697946,43.696131,11
-79.288964,43.6942914,19
-79.415471,43.780152,18
-79.5708353,43.6916848,1
-79.361539,43.7024945,15
-79.3678899,43.6503943,13
-79.2626776,43.7329648,20
-79.2626776,43.7329648,20
-79.5009648,43.6913156,5
-79.2626776,43.7329648,20
-79.4014566,43.7280206,15
-79.4857312,43.6483359,4
-79.3878199,43.6386589,10
-79.2626776,43.7329648,20
-79.3878199,43.6386589,10
-79.284744,43.681534,19
-79.3837219,43.6628957,13
-79.214761,43.792533,24
-79.3545695,43.8103714,17
-79.214761,43.792533,24
-79.398985,43.704966,12
-79.4339296,43.7373209,8
-79.214761,43.792533,24
-79.5133981,43.7580683,7
-79.4767235,43.6816578,5
-79.5559189,43.7169819,1
-79.2772357,43.6936596,19
-79.52067,43.7013818,5
-79.4443881,43.7162337,8
-79.2317521,43.7764258,24
-79.4325456,43.652555,9
-79.4325456,43.652555,9
-79.4410384,43.6502487,4
-79.4407862,43.6925935,12
-79.5321603,43.6426108,3
-79.3394899,43.7230061,16
-79.2970738,43.6979512,19
-79.478508,43.631195,4
-79.6168809,43.7335821,1
-79.280045,43.711021,20
-79.4200378,43.7979764,18
-79.5083125,43.7019846,5
-79.415024,43.781433,18
-79.3584314,43.7460067,16
-79.2626776,43.7329648,20
-79.2510954,43.8334524,23
-79.4443881,43.7162337,8
-79.4509411,43.7346861,8
-79.415024,43.781433,18
-79.301603,43.7242122,16
-79.4361468,43.6993703,12
-79.5362481,43.6370245,3
-79.426178,43.662437,9
-79.2578685,43.7756054,21
-79.5073493,43.6998107,5
-79.280045,43.711021,20
-79.2573466,43.7746376,21
-79.263632,43.732504,20
-79.2626776,43.7329648,20
-79.2626776,43.7329648,20
-79.2626776,43.7329648,20
-79.3678899,43.6503943,13
-79.2317521,43.7764258,24
-79.2626776,43.7329648,20
-79.3016857,43.6890219,19
-79.3875315,43.7090953,15
-79.5083125,43.7019846,5
-79.3966474,43.6978369,12
-79.2429904,43.8130578,23
-79.3453617,43.7757106,17
-79.459839,43.655373,4
-79.6009305,43.7306347,1
-79.4887807,43.6854767,5
-79.3915459,43.6407935,10
-79.444132,43.7158596,8
-79.179672,43.819275,25
-79.360878,43.75379,16
-79.2317521,43.7764258,24
-79.2238354,43.7567486,24
-79.2531864,43.7356437,20
-79.398985,43.704966,12
-79.4509411,43.7346861,8
-79.2657334,43.7815943,23
-79.4325948,43.7315086,8
-79.2529857,43.7762792,21
-79.2318022,43.7763948,24
-79.2317521,43.7764258,24
-79.4509411,43.7346861,8
-79.1302278,43.7803193,25
-79.5103292,43.7771693,7
-79.4152409,43.7412905,8
-79.2317521,43.7764258,24
-79.3473653,43.8264498,17
-79.591198,43.678962,2
-79.3446186,43.680086,14
-79.4067176,43.7449399,15
-79.4509411,43.7346861,8
-79.4527887,43.733428,8
-79.3145485,43.8162137,22
-79.288964,43.6942914,19
-79.4849624,43.6490249,4
-79.4188508,43.644171,10
-79.5162178,43.7001504,5
-79.415024,43.781433,18
-79.2862183,43.7786365,22
-79.483832,43.6499455,4
-79.2318022,43.7763948,24
-79.280045,43.711021,20
-79.5362481,43.6370245,3
-79.263632,43.732504,20
-79.280045,43.711021,20
-79.2318022,43.7763948,24
-79.4353285,43.6598576,9
-79.3446186,43.680086,14
-79.2317521,43.7764258,24
-79.4112152,43.6660011,11
-79.2954611,43.7016807,19
-79.2626776,43.7329648,20
-79.3126378,43.6864082,19
-79.2429904,43.8130578,23
-79.2626776,43.7329648,20
-79.4353285,43.6598576,9
-79.263632,43.732504,20
-79.2626776,43.7329648,20
-79.5162643,43.7001672,5
-79.4917824,43.7436213,6
-79.4917824,43.7436213,6
-79.459839,43.655373,4
-79.4493822,43.6817852,9
-79.426178,43.662437,9
-79.4353285,43.6598576,9
-79.459839,43.655373,4
-79.4122765,43.7617203,18
-79.2317521,43.7764258,24
-79.3688194,43.6736049,13
-79.2959772,43.7088142,19
-79.3016857,43.6890219,19
-79.5362481,43.6370245,3
-79.3628863,43.6514481,13
-79.4217008,43.7398486,8
-79.2257798,43.8122105,23
-79.3239254,43.6841604,19
-79.2529857,43.7762792,21
-79.211625,43.7900692,24
-79.288964,43.6942914,19
-79.4509411,43.7346861,8
-79.2866218,43.6869114,19
-79.4200378,43.7979764,18
-79.5442236,43.7598938,7
-79.284744,43.681534,19
-79.4453733,43.7908443,18
-79.195935,43.7928371,25
-79.215566,43.7603181,24
-79.2946902,43.7009782,19
-79.2626776,43.7329648,20
-79.4509411,43.7346861,8
-79.415471,43.780152,18
-79.2587547,43.7896626,23
-79.5103292,43.7771693,7
-79.3446186,43.680086,14
-79.4366417,43.6405916,4
-79.2591447,43.7898233,23
-79.3966474,43.6978369,12
-79.2323657,43.8152932,23
-79.3998421,43.6682821,11
-79.621223,43.724472,1
-79.1804888,43.7547936,24
-79.398985,43.704966,12
-79.3145485,43.8162137,22
-79.2900372,43.7212522,20
-79.4361468,43.6993703,12
-79.2785015,43.7853173,22
-79.1804888,43.7547936,24
-79.3464924,43.7133989,15
-79.280045,43.711021,20
-79.589958,43.760769,1
-79.195935,43.7928371,25
-79.2323657,43.8152932,23
-79.170723,43.809147,25
-79.3930467,43.6874845,12
-79.195935,43.7928371,25
-79.4509411,43.7346861,8
-79.450409,43.676418,9
